"","Plasmid","Chrom","Genes","Interacting_genes","Interactions","Total_Genes","Total_Interactions","Jaccard"
"204","NZ_HG941719.1","Streptomyces_sclerotialus_",44,0,"0",6111,"117055",0
"205","EU935739","Streptomyces_virginiae_",84,0,"0",7383,"113075",0
"206","EU935740","Streptomyces_virginiae_",86,0,"0",7383,"113075",0
"207","EU935738","Streptomyces_virginiae_",55,0,"0",7383,"113075",0
"208","NZ_HG941719.1","Streptomyces_virginiae_",44,0,"0",7383,"113075",0
"209","EU935739","Streptomyces_cellulosae_",84,0,"0",8893,"184200",0
"210","EU935740","Streptomyces_cellulosae_",86,0,"0",8893,"184200",0
"211","EU935738","Streptomyces_cellulosae_",55,0,"0",8893,"184200",0
"212","NZ_HG941719.1","Streptomyces_cellulosae_",44,0,"0",8893,"184200",0
"213","EU935739","Microtetraspora_glauca_",84,0,"0",6880,"110945",0
"214","EU935740","Microtetraspora_glauca_",86,0,"0",6880,"110945",0
"215","EU935738","Microtetraspora_glauca_",55,0,"0",6880,"110945",0
"216","NZ_HG941719.1","Microtetraspora_glauca_",44,0,"0",6880,"110945",0
"217","EU935739","Streptosporangium_amethystogenes_",84,0,"0",8433,"139931",0
"218","EU935740","Streptosporangium_amethystogenes_",86,0,"0",8433,"139931",0
"219","EU935738","Streptosporangium_amethystogenes_",55,0,"0",8433,"139931",0
"220","NZ_HG941719.1","Streptosporangium_amethystogenes_",44,0,"0",8433,"139931",0
"221","EU935739","Pimelobacter_simplex_",84,0,"0",4666,"53822",0
"222","EU935740","Pimelobacter_simplex_",86,0,"0",4666,"53822",0
"223","EU935738","Pimelobacter_simplex_",55,0,"0",4666,"53822",0
"224","NZ_HG941719.1","Pimelobacter_simplex_",44,0,"0",4666,"53822",0
"225","EU935739","Gordonia_terrae_",84,97,"103",4988,"87017",0.019
"226","EU935740","Gordonia_terrae_",86,92,"91",4988,"87017",0.018
"227","EU935738","Gordonia_terrae_",55,79,"87",4988,"87017",0.016
"228","NZ_HG941719.1","Gordonia_terrae_",44,87,"84",4988,"87017",0.017
"229","EU935739","Pseudonocardia_autotrophica_",84,0,"0",7476,"144693",0
"230","EU935740","Pseudonocardia_autotrophica_",86,0,"0",7476,"144693",0
"231","EU935738","Pseudonocardia_autotrophica_",55,0,"0",7476,"144693",0
"232","NZ_HG941719.1","Pseudonocardia_autotrophica_",44,0,"0",7476,"144693",0
"233","EU935739","Mycoplasma_agalactiae_",84,0,"0",836,"10880",0
"234","EU935740","Mycoplasma_agalactiae_",86,0,"0",836,"10880",0
"235","EU935738","Mycoplasma_agalactiae_",55,0,"0",836,"10880",0
"236","NZ_HG941719.1","Mycoplasma_agalactiae_",44,0,"0",836,"10880",0
"237","EU935739","Mycoplasma_californicum_",84,49,"48",612,"10248",0.07
"238","EU935740","Mycoplasma_californicum_",86,49,"48",612,"10248",0.07
"239","EU935738","Mycoplasma_californicum_",55,49,"48",612,"10248",0.073
"240","NZ_HG941719.1","Mycoplasma_californicum_",44,49,"48",612,"10248",0.075
"241","EU935739","Thermoanaerobacter_kivui_",84,64,"61",2385,"31787",0.026
"242","EU935740","Thermoanaerobacter_kivui_",86,168,"288",2385,"31787",0.068
"243","EU935738","Thermoanaerobacter_kivui_",55,51,"49",2385,"31787",0.021
"244","NZ_HG941719.1","Thermoanaerobacter_kivui_",44,42,"41",2385,"31787",0.017
"245","EU935739","Solemya_velum_gill_symbiont_",84,63,"88",2721,"39569",0.022
"246","EU935740","Solemya_velum_gill_symbiont_",86,73,"243",2721,"39569",0.026
"247","EU935738","Solemya_velum_gill_symbiont_",55,49,"75",2721,"39569",0.018
"248","NZ_HG941719.1","Solemya_velum_gill_symbiont_",44,22,"28",2721,"39569",0.008
"249","EU935739","Candidatus_Sodalis_pierantonius_str._SOPE_",84,112,"109",2338,"24629",0.046
"250","EU935740","Candidatus_Sodalis_pierantonius_str._SOPE_",86,69,"67",2338,"24629",0.028
"251","EU935738","Candidatus_Sodalis_pierantonius_str._SOPE_",55,94,"92",2338,"24629",0.039
"252","NZ_HG941719.1","Candidatus_Sodalis_pierantonius_str._SOPE_",44,75,"73",2338,"24629",0.031
"253","EU935739","Fervidobacterium_islandicum_",84,0,"0",1961,"28648",0
"254","EU935740","Fervidobacterium_islandicum_",86,0,"0",1961,"28648",0
"255","EU935738","Fervidobacterium_islandicum_",55,0,"0",1961,"28648",0
"256","NZ_HG941719.1","Fervidobacterium_islandicum_",44,0,"0",1961,"28648",0
"257","EU935739","Synergistes_jonesii_",84,0,"0",2516,"36997",0
"258","EU935740","Synergistes_jonesii_",86,0,"0",2516,"36997",0
"259","EU935738","Synergistes_jonesii_",55,0,"0",2516,"36997",0
"260","NZ_HG941719.1","Synergistes_jonesii_",44,0,"0",2516,"36997",0
"261","EU935739","Dactylococcopsis_salina_PCC_8305_",84,0,"0",3349,"42733",0
"262","EU935740","Dactylococcopsis_salina_PCC_8305_",86,0,"0",3349,"42733",0
"263","EU935738","Dactylococcopsis_salina_PCC_8305_",55,0,"0",3349,"42733",0
"264","NZ_HG941719.1","Dactylococcopsis_salina_PCC_8305_",44,0,"0",3349,"42733",0
"265","EU935739","Sphingomonas_paucimobilis_",84,68,"80",4705,"85120",0.014
"266","EU935740","Sphingomonas_paucimobilis_",86,98,"115",4705,"85120",0.02
"267","EU935738","Sphingomonas_paucimobilis_",55,44,"57",4705,"85120",0.009
"268","NZ_HG941719.1","Sphingomonas_paucimobilis_",44,141,"160",4705,"85120",0.03
"269","EU935739","Sphingobium_yanoikuyae_",84,74,"115",5331,"57811",0.014
"270","EU935740","Sphingobium_yanoikuyae_",86,135,"246",5331,"57811",0.025
"271","EU935738","Sphingobium_yanoikuyae_",55,72,"74",5331,"57811",0.013
"272","NZ_HG941719.1","Sphingobium_yanoikuyae_",44,128,"259",5331,"57811",0.024
"273","EU935739","Saccharopolyspora_rectivirgula_",84,0,"0",3222,"61877",0
"274","EU935740","Saccharopolyspora_rectivirgula_",86,0,"0",3222,"61877",0
"275","EU935738","Saccharopolyspora_rectivirgula_",55,0,"0",3222,"61877",0
"276","NZ_HG941719.1","Saccharopolyspora_rectivirgula_",44,0,"0",3222,"61877",0
"277","EU935739","Nostoc_sp._PCC_7524_",84,0,"0",5365,"63520",0
"278","EU935740","Nostoc_sp._PCC_7524_",86,0,"0",5365,"63520",0
"279","EU935738","Nostoc_sp._PCC_7524_",55,0,"0",5365,"63520",0
"280","NZ_HG941719.1","Nostoc_sp._PCC_7524_",44,0,"0",5365,"63520",0
"281","EU935739","Porphyromonas_macacae_",84,6,"5",1778,"24160",0.003
"282","EU935740","Porphyromonas_macacae_",86,0,"0",1778,"24160",0
"283","EU935738","Porphyromonas_macacae_",55,0,"0",1778,"24160",0
"284","NZ_HG941719.1","Porphyromonas_macacae_",44,0,"0",1778,"24160",0
"285","EU935739","Yersinia_kristensenii_",84,219,"225",3918,"56872",0.055
"286","EU935740","Yersinia_kristensenii_",86,139,"137",3918,"56872",0.035
"287","EU935738","Yersinia_kristensenii_",55,124,"123",3918,"56872",0.031
"288","NZ_HG941719.1","Yersinia_kristensenii_",44,171,"194",3918,"56872",0.043
"289","EU935739","Candidatus_Photodesmus_katoptron_",84,71,"69",866,"19002",0.075
"290","EU935740","Candidatus_Photodesmus_katoptron_",86,42,"41",866,"19002",0.044
"291","EU935738","Candidatus_Photodesmus_katoptron_",55,46,"44",866,"19002",0.05
"292","NZ_HG941719.1","Candidatus_Photodesmus_katoptron_",44,46,"44",866,"19002",0.051
"293","EU935739","Colwellia_psychrerythraea_",84,32,"31",4376,"54976",0.007
"294","EU935740","Colwellia_psychrerythraea_",86,47,"193",4376,"54976",0.011
"295","EU935738","Colwellia_psychrerythraea_",55,0,"0",4376,"54976",0
"296","NZ_HG941719.1","Colwellia_psychrerythraea_",44,0,"0",4376,"54976",0
"297","EU935739","Cobetia_marina_",84,15,"14",2726,"27574",0.005
"298","EU935740","Cobetia_marina_",86,0,"0",2726,"27574",0
"299","EU935738","Cobetia_marina_",55,0,"0",2726,"27574",0
"300","NZ_HG941719.1","Cobetia_marina_",44,0,"0",2726,"27574",0
"301","EU935739","Herbidospora_cretacea_",84,0,"0",7328,"117785",0
"302","EU935740","Herbidospora_cretacea_",86,0,"0",7328,"117785",0
"303","EU935738","Herbidospora_cretacea_",55,0,"0",7328,"117785",0
"304","NZ_HG941719.1","Herbidospora_cretacea_",44,0,"0",7328,"117785",0
"305","EU935739","Streptomyces_griseoluteus_",84,0,"0",7366,"106035",0
"306","EU935740","Streptomyces_griseoluteus_",86,0,"0",7366,"106035",0
"307","EU935738","Streptomyces_griseoluteus_",55,0,"0",7366,"106035",0
"308","NZ_HG941719.1","Streptomyces_griseoluteus_",44,0,"0",7366,"106035",0
"309","EU935739","Yersinia_ruckeri_",84,191,"190",3325,"44834",0.056
"310","EU935740","Yersinia_ruckeri_",86,100,"98",3325,"44834",0.029
"311","EU935738","Yersinia_ruckeri_",55,102,"101",3325,"44834",0.03
"312","NZ_HG941719.1","Yersinia_ruckeri_",44,132,"130",3325,"44834",0.039
"313","EU935739","Vibrio_navarrensis_",84,21,"20",3816,"71462",0.005
