"","Chrom","JN626286.1","LN864819.1","NZ_KX523901.1"
"240","Streptacidiphilus_albus_","0","0","0"
"241","Nitrosococcus_watsonii_C-113_","0","0","0"
"242","Frankia_sp._CcI3_","0","0","0"
"243","Acinetobacter_bereziniae_","29","48","0"
"244","Methylosinus_sp._LW3_","0","0","0"
"245","Methylosinus_sp._PW1_","0","0","0"
"246","Buchnera_aphidicola_str._APS_","Buchnera_aphidicola_str._APS_","Buchnera_aphidicola_str._APS_","Buchnera_aphidicola_str._APS_"
"247","Nocardioides_sp._CF8_","0","0","0"
"248","Synechococcus_sp._CC9605_","0","0","0"
"249","Synechococcus_sp._CC9616_","0","0","0"
"250","Porphyromonas_gulae_","0","0","0"
"251","Stanieria_cyanosphaera_PCC_7437_","20","20","0"
"252","Leptolyngbya_sp._PCC_7376_","20","20","0"
"253","Geminocystis_herdmanii_PCC_6308_","0","0","0"
"254","Bradyrhizobium_sp._Tv2a-2_","0","0","0"
"255","Bradyrhizobium_sp._ORS_278_","127","132","72"
"256","Chlamydophila_pneumoniae_AR39_","55","55","42"
"257","Chlamydophila_pneumoniae_CWL029_","62","62","45"
"258","Chrysiogenes_arsenatis_DSM_11915_","0","0","0"
"259","Pleurocapsa_sp._PCC_7319_","0","0","0"
"260","Pleurocapsa_sp._PCC_7327_","23","23","0"
"261","Nodosilinea_nodulosa_PCC_7104_","0","0","0"
"262","Coleofasciculus_chthonoplastes_PCC_7420_","23","23","0"
"263","Pseudanabaena_sp._PCC_6802_","0","0","0"
"264","Persephonella_marina_EX-H1_","50","50","0"
"265","Bordetella_trematum_","42","42","0"
"266","Actinoplanes_sp._SE50-110_","Actinoplanes_sp._SE50-110_","Actinoplanes_sp._SE50-110_","Actinoplanes_sp._SE50-110_"
"267","Kocuria_polaris_","0","0","0"
"268","Methylosinus_sp._LW4_","0","0","0"
"269","Desulfitobacterium_hafniense_Y51_","69","69","0"
"270","Lachnobacterium_bovis_","0","0","0"
"271","Zobellia_uliginosa_","0","0","0"
"272","Prochlorococcus_marinus_str._AS9601_","0","0","31"
"273","Streptomyces_griseofuscus_","0","0","0"
"274","Lactobacillus_kunkeei_","24","24","0"
"275","Kozakia_baliensis_","16","16","0"
"276","Sporocytophaga_myxococcoides_","0","0","0"
"277","Nitrosomonas_sp._AL212_","0","0","0"
"278","Gallibacterium_genomosp._1_","27","27","0"
"279","Escherichia_coli_O157:H7_str._EDL933_","99","67","21"
"280","Alteromonadales_bacterium_TW-7_","0","0","0"
"281","Magnetococcus_marinus_MC-1_","0","0","0"
"282","Corynebacterium_imitans_","36","49","0"
"283","Pseudomonas_cremoricolorata_","25","25","0"
"284","Sphaerochaeta_globosa_str._Buddy_","0","0","0"
"285","Sphaerochaeta_pleomorpha_str._Grapes_","0","0","0"
"286","Novosphingobium_resinovorum_","75","75","58"
"287","Bifidobacterium_scardovii_","0","0","0"
"288","Cedecea_neteri_","90","90","0"
"289","Dechloromonas_aromatica_RCB_","32","32","0"
"290","Burkholderia_sacchari_","35","35","0"
"291","Pseudomonas_putida_KT2440_","320","299","76"
"292","Xylella_fastidiosa_9a5c_","13","13","0"
"293","Paenibacillus_borealis_","0","0","0"
"294","Thermodesulfobacterium_hydrogeniphilum_","0","0","0"
"295","Erythrobacter_sp._SD-21_","0","0","0"
"296","Wolbachia_endosymbiont_of_Drosophila_melanogaster_","43","43","43"
"297","Anabaena_sp._PCC_7108_","0","0","0"
"298","Mycobacterium_sp._JLS_","0","0","0"
"299","Synechococcus_sp._WH_8109_","39","39","52"
"300","Synechococcus_sp._WH_8016_","0","0","0"
"301","Prochlorococcus_marinus_subsp._marinus_str._CCMP1375_","0","0","15"
"302","Prochlorococcus_marinus_str._MIT_9515_","0","0","32"
"303","Prochlorococcus_marinus_str._MIT_9301_","0","0","31"
"304","Prochlorococcus_marinus_str._MIT_9314_","0","0","0"
"305","Prochlorococcus_marinus_str._MIT_9322_","0","0","0"
"306","Prochlorococcus_marinus_str._NATL1A_","0","0","35"
"307","Listeria_monocytogenes_EGD-e_","114","114","70"
"308","Streptococcus_pneumoniae_TIGR4_","40","40","40"
"309","Streptococcus_pneumoniae_R6_","0","30","0"
"310","Oceanobacillus_picturae_","98","168","79"
"311","Elizabethkingia_miricola_","45","45","18"
"312","Bradyrhizobium_sp._th.b2_","0","0","0"
"313","Streptococcus_sinensis_","0","0","0"
"314","Staphylococcus_epidermidis_RP62A_","112","112","93"
"315","Staphylococcus_epidermidis_ATCC_12228_","93","120","76"
"316","Agrobacterium_fabrum_str._C58_","127","154","84"
"317","Francisella_tularensis_subsp._tularensis_SCHU_S4_","82","77","47"
"318","Desulfobacterium_autotrophicum_HRM2_","67","74","7"
"319","Desulfotalea_psychrophila_LSv54_","0","0","0"
"320","Acetobacter_malorum_","0","0","0"
"321","Oscillatoria_nigro-viridis_PCC_7112_","19","19","0"
"322","Cyanobium_sp._PCC_7001_","72","158","52"
"323","Robinsoniella_peoriensis_","0","0","0"
"324","Chlamydophila_pneumoniae_TW-183_","43","43","43"
"325","Helicobacter_cetorum_MIT_00-7128_","16","16","0"
"326","Candidatus_Baumannia_cicadellinicola_","0","0","0"
"327","Alkalilimnicola_ehrlichii_MLHE-1_","33","33","0"
"328","Methylocystis_sp._SC2_","22","22","0"
"329","Dermacoccus_sp._Ellin185_","0","58","0"
"330","Paenibacillus_graminis_","29","29","0"
"331","Paenibacillus_odorifer_","0","0","0"
"332","Bradyrhizobium_sp._Ec3.3_","0","0","0"
"333","Fusobacterium_nucleatum_subsp._nucleatum_ATCC_25586_","39","39","39"
"334","Xanthomonas_axonopodis_pv._citri_str._306_","66","75","17"
"335","Caulobacter_crescentus_CB15_","89","89","58"
"336","Corynebacterium_atypicum_","0","0","0"
"337","Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819_","155","155","62"
"338","Chlorobium_tepidum_TLS_","0","0","0"
"339","Sphingomonas_sp._ATCC_31555_","0","0","0"
"340","Clostridium_perfringens_ATCC_13124_","53","53","26"
"341","Haematobacter_massiliensis_","29","29","0"
"342","Synechococcus_sp._PCC_7336_","0","0","0"
"343","Synechococcus_sp._PCC_6312_","80","80","0"
"344","Nocardioides_sp._JS614_","0","0","0"
"345","Corynebacterium_efficiens_YS-314_","Corynebacterium_efficiens_YS-314_","Corynebacterium_efficiens_YS-314_","Corynebacterium_efficiens_YS-314_"
"346","Burkholderia_sordidicola_","0","0","0"
"347","Bradyrhizobium_sp._Ai1a-2_","0","0","0"
"348","Corynebacterium_glutamicum_ATCC_13032_","81","94","38"
"349","Thermosynechococcus_elongatus_BP-1_","Thermosynechococcus_elongatus_BP-1_","Thermosynechococcus_elongatus_BP-1_","Thermosynechococcus_elongatus_BP-1_"
"350","Bacillus_anthracis_str._Ames_","124","124","40"
"351","Shigella_flexneri_2a_str._301_","147","130","84"
"352","Anoxybacillus_gonensis_","27","27","0"
"353","Dickeya_dadantii_3937_","113","101","65"
"354","Buchnera_aphidicola_str._Sg_","38","38","38"
"355","Escherichia_coli_CFT073_","103","102","71"
"356","Listeria_ivanovii_subsp._londoniensis_","0","0","0"
"357","Acinetobacter_gerneri_","0","0","0"
"358","Acinetobacter_tandoii_","0","0","0"
"359","Acinetobacter_tjernbergiae_","0","0","0"
"360","Acinetobacter_towneri_","0","0","0"
"361","Ruminiclostridium_thermocellum_ATCC_27405_","0","0","0"
"362","Leuconostoc_mesenteroides_subsp._mesenteroides_ATCC_8293_","0","0","0"
"363","Saccharophagus_degradans_2-40_","18","18","0"
"364","Oenococcus_oeni_PSU-1_","0","0","0"
"365","Trichodesmium_erythraeum_IMS101_","21","21","0"
"366","Tropheryma_whipplei_str._Twist_","33","33","0"
"367","Tannerella_forsythia_ATCC_43037_","86","86","69"
"368","Candidatus_Blochmannia_floridanus_","30","30","30"
"369","Sulfurihydrogenibium_azorense_Az-Fu1_","41","41","0"
"370","Candidatus_Koribacter_versatilis_Ellin345_","24","24","0"
"371","Herminiimonas_arsenicoxydans_","108","108","47"
"372","Haemophilus_somnus_129PT_","29","29","0"
"373","Pseudomonas_syringae_pv._syringae_B728a_","30","30","0"
"374","Ehrlichia_chaffeensis_str._Arkansas_","36","36","36"
"375","Pseudomonas_fluorescens_Pf0-1_","122","122","74"
"376","Desulfovibrio_alaskensis_G20_","Desulfovibrio_alaskensis_G20_","Desulfovibrio_alaskensis_G20_","Desulfovibrio_alaskensis_G20_"
"377","Neptuniibacter_caesariensis_","0","0","0"
"378","Amycolatopsis_japonica_","22","22","0"
"379","Amycolatopsis_vancoresmycina_","0","0","0"
"380","Carnobacterium_sp._17-4_","52","52","0"
"381","Streptococcus_mutans_UA159_","38","38","38"
"382","Streptococcus_agalactiae_NEM316_","0","0","0"
"383","Allokutzneria_albata_","0","0","0"
"384","Chlorogloeopsis_fritschii_PCC_6912_","0","0","0"
"385","Shewanella_oneidensis_MR-1_","148","148","71"
"386","Anaplasma_phagocytophilum_str._HZ_","43","43","43"
"387","Yersinia_pestis_CO92_","62","69","0"
"388","Enhygromyxa_salina_","0","0","0"
"389","Pseudomonas_rhizosphaerae_","24","24","0"
"390","Croceibacter_atlanticus_HTCC2559_","0","0","0"
"391","Burkholderia_cenocepacia_J2315_","171","145","98"
"392","Mycobacterium_marinum_M_","129","195","71"
