"","Plasmid","Chrom","Genes","Interacting_genes","Interactions","Total_Genes","Total_Interactions","Jaccard"
"139","NZ_KX523901.1","Lactobacillus_animalis_","12","0","0","1844","33085",NA
"140","MT441554.1","Lactobacillus_animalis_","18","28","27","1844","33085",NA
"141","JN626286.1","Bifidobacterium_adolescentis_","37","9","8","1726","22208",NA
"142","LN864819.1","Bifidobacterium_adolescentis_","57","12","10","1726","22208",NA
"143","NZ_KX523901.1","Bifidobacterium_adolescentis_","12","0","0","1726","22208",NA
"144","MT441554.1","Bifidobacterium_adolescentis_","18","6","5","1726","22208",NA
"145","JN626286.1","Bifidobacterium_coryneforme_","37","0","0","1364","16303",NA
"146","LN864819.1","Bifidobacterium_coryneforme_","57","0","0","1364","16303",NA
"147","NZ_KX523901.1","Bifidobacterium_coryneforme_","12","0","0","1364","16303",NA
"148","MT441554.1","Bifidobacterium_coryneforme_","18","19","18","1364","16303",NA
"149","JN626286.1","Bifidobacterium_cuniculi_","37","0","0","2198","25509",NA
"150","LN864819.1","Bifidobacterium_cuniculi_","57","0","0","2198","25509",NA
"151","NZ_KX523901.1","Bifidobacterium_cuniculi_","12","0","0","2198","25509",NA
"152","MT441554.1","Bifidobacterium_cuniculi_","18","0","0","2198","25509",NA
"153","JN626286.1","Bifidobacterium_pseudolongum_subsp._globosum_","37","0","0","1575","23767",NA
"154","LN864819.1","Bifidobacterium_pseudolongum_subsp._globosum_","57","0","0","1575","23767",NA
"155","NZ_KX523901.1","Bifidobacterium_pseudolongum_subsp._globosum_","12","0","0","1575","23767",NA
"156","MT441554.1","Bifidobacterium_pseudolongum_subsp._globosum_","18","12","11","1575","23767",NA
"157","JN626286.1","Bifidobacterium_magnum_","37","0","0","1507","21872",NA
"158","LN864819.1","Bifidobacterium_magnum_","57","0","0","1507","21872",NA
"159","NZ_KX523901.1","Bifidobacterium_magnum_","12","0","0","1507","21872",NA
"160","MT441554.1","Bifidobacterium_magnum_","18","11","10","1507","21872",NA
"161","JN626286.1","Bifidobacterium_minimum_","37","0","0","1591","23932",NA
"162","LN864819.1","Bifidobacterium_minimum_","57","0","0","1591","23932",NA
"163","NZ_KX523901.1","Bifidobacterium_minimum_","12","0","0","1591","23932",NA
"164","MT441554.1","Bifidobacterium_minimum_","18","18","17","1591","23932",NA
"165","JN626286.1","Oerskovia_turbata_","37","0","0","3508","53005",NA
"166","LN864819.1","Oerskovia_turbata_","57","0","0","3508","53005",NA
"167","NZ_KX523901.1","Oerskovia_turbata_","12","0","0","3508","53005",NA
"168","MT441554.1","Oerskovia_turbata_","18","0","0","3508","53005",NA
"169","JN626286.1","Corynebacterium_pseudotuberculosis_","37","48","56","2242","35622",NA
"170","LN864819.1","Corynebacterium_pseudotuberculosis_","57","33","40","2242","35622",NA
"171","NZ_KX523901.1","Corynebacterium_pseudotuberculosis_","12","0","0","2242","35622",NA
"172","MT441554.1","Corynebacterium_pseudotuberculosis_","18","120","118","2242","35622",NA
"173","JN626286.1","Rhodococcus_fascians_","37","8","7","5502","84709",NA
"174","LN864819.1","Rhodococcus_fascians_","57","8","7","5502","84709",NA
"175","NZ_KX523901.1","Rhodococcus_fascians_","12","0","0","5502","84709",NA
"176","MT441554.1","Rhodococcus_fascians_","18","0","0","5502","84709",NA
"177","JN626286.1","Actinoplanes_utahensis_","37","0","0","7395","139361",NA
"178","LN864819.1","Actinoplanes_utahensis_","57","0","0","7395","139361",NA
"179","NZ_KX523901.1","Actinoplanes_utahensis_","12","0","0","7395","139361",NA
"180","MT441554.1","Actinoplanes_utahensis_","18","16","15","7395","139361",NA
"181","JN626286.1","Streptomyces_aureofaciens_","37","0","0","8151","105861",NA
"182","LN864819.1","Streptomyces_aureofaciens_","57","0","0","8151","105861",NA
"183","NZ_KX523901.1","Streptomyces_aureofaciens_","12","0","0","8151","105861",NA
"184","MT441554.1","Streptomyces_aureofaciens_","18","0","0","8151","105861",NA
"185","JN626286.1","Streptomyces_bikiniensis_","37","0","0","6510","102620",NA
"186","LN864819.1","Streptomyces_bikiniensis_","57","0","0","6510","102620",NA
"187","NZ_KX523901.1","Streptomyces_bikiniensis_","12","0","0","6510","102620",NA
"188","MT441554.1","Streptomyces_bikiniensis_","18","0","0","6510","102620",NA
"189","JN626286.1","Streptomyces_fradiae_","37","0","0","6179","110067",NA
"190","LN864819.1","Streptomyces_fradiae_","57","0","0","6179","110067",NA
"191","NZ_KX523901.1","Streptomyces_fradiae_","12","0","0","6179","110067",NA
"192","MT441554.1","Streptomyces_fradiae_","18","0","0","6179","110067",NA
"193","JN626286.1","Streptomyces_glaucescens_","37","21","20","6567","71975",NA
"194","LN864819.1","Streptomyces_glaucescens_","57","21","20","6567","71975",NA
"195","NZ_KX523901.1","Streptomyces_glaucescens_","12","0","0","6567","71975",NA
"196","MT441554.1","Streptomyces_glaucescens_","18","11","10","6567","71975",NA
"197","JN626286.1","Streptomyces_halstedii_","37","0","0","6564","124544",NA
"198","LN864819.1","Streptomyces_halstedii_","57","0","0","6564","124544",NA
"199","NZ_KX523901.1","Streptomyces_halstedii_","12","0","0","6564","124544",NA
"200","MT441554.1","Streptomyces_halstedii_","18","0","0","6564","124544",NA
"201","JN626286.1","Streptomyces_sclerotialus_","37","0","0","6111","117055",NA
"202","LN864819.1","Streptomyces_sclerotialus_","57","0","0","6111","117055",NA
"203","NZ_KX523901.1","Streptomyces_sclerotialus_","12","0","0","6111","117055",NA
"204","MT441554.1","Streptomyces_sclerotialus_","18","0","0","6111","117055",NA
"205","JN626286.1","Streptomyces_virginiae_","37","0","0","7383","113075",NA
"206","LN864819.1","Streptomyces_virginiae_","57","0","0","7383","113075",NA
"207","NZ_KX523901.1","Streptomyces_virginiae_","12","0","0","7383","113075",NA
"208","MT441554.1","Streptomyces_virginiae_","18","0","0","7383","113075",NA
"209","JN626286.1","Streptomyces_cellulosae_","37","0","0","8893","184200",NA
"210","LN864819.1","Streptomyces_cellulosae_","57","0","0","8893","184200",NA
"211","NZ_KX523901.1","Streptomyces_cellulosae_","12","0","0","8893","184200",NA
"212","MT441554.1","Streptomyces_cellulosae_","18","0","0","8893","184200",NA
"213","JN626286.1","Microtetraspora_glauca_","37","0","0","6880","110945",NA
"214","LN864819.1","Microtetraspora_glauca_","57","0","0","6880","110945",NA
"215","NZ_KX523901.1","Microtetraspora_glauca_","12","0","0","6880","110945",NA
"216","MT441554.1","Microtetraspora_glauca_","18","0","0","6880","110945",NA
"217","JN626286.1","Streptosporangium_amethystogenes_","37","0","0","8433","139931",NA
"218","LN864819.1","Streptosporangium_amethystogenes_","57","0","0","8433","139931",NA
"219","NZ_KX523901.1","Streptosporangium_amethystogenes_","12","0","0","8433","139931",NA
"220","MT441554.1","Streptosporangium_amethystogenes_","18","0","0","8433","139931",NA
"221","JN626286.1","Pimelobacter_simplex_","37","0","0","4666","53822",NA
"222","LN864819.1","Pimelobacter_simplex_","57","0","0","4666","53822",NA
"223","NZ_KX523901.1","Pimelobacter_simplex_","12","0","0","4666","53822",NA
"224","MT441554.1","Pimelobacter_simplex_","18","26","25","4666","53822",NA
"225","JN626286.1","Gordonia_terrae_","37","106","122","4988","87017",NA
"226","LN864819.1","Gordonia_terrae_","57","170","188","4988","87017",NA
"227","NZ_KX523901.1","Gordonia_terrae_","12","69","68","4988","87017",NA
"228","MT441554.1","Gordonia_terrae_","18","84","90","4988","87017",NA
"229","JN626286.1","Pseudonocardia_autotrophica_","37","0","0","7476","144693",NA
"230","LN864819.1","Pseudonocardia_autotrophica_","57","0","0","7476","144693",NA
"231","NZ_KX523901.1","Pseudonocardia_autotrophica_","12","0","0","7476","144693",NA
"232","MT441554.1","Pseudonocardia_autotrophica_","18","0","0","7476","144693",NA
"233","JN626286.1","Mycoplasma_agalactiae_","37","38","37","836","10880",NA
"234","LN864819.1","Mycoplasma_agalactiae_","57","38","37","836","10880",NA
"235","NZ_KX523901.1","Mycoplasma_agalactiae_","12","0","0","836","10880",NA
"236","MT441554.1","Mycoplasma_agalactiae_","18","0","0","836","10880",NA
"237","JN626286.1","Mycoplasma_californicum_","37","49","48","612","10248",NA
"238","LN864819.1","Mycoplasma_californicum_","57","49","48","612","10248",NA
"239","NZ_KX523901.1","Mycoplasma_californicum_","12","49","48","612","10248",NA
"240","MT441554.1","Mycoplasma_californicum_","18","49","48","612","10248",NA
"241","JN626286.1","Thermoanaerobacter_kivui_","37","69","78","2385","31787",NA
"242","LN864819.1","Thermoanaerobacter_kivui_","57","77","86","2385","31787",NA
"243","NZ_KX523901.1","Thermoanaerobacter_kivui_","12","42","41","2385","31787",NA
"244","MT441554.1","Thermoanaerobacter_kivui_","18","42","41","2385","31787",NA
"245","JN626286.1","Solemya_velum_gill_symbiont_","37","39","54","2721","39569",NA
"246","LN864819.1","Solemya_velum_gill_symbiont_","57","39","54","2721","39569",NA
