"","x"
"1068","glk"
"1069","glmm"
"1070","glms"
"1071","glmu"
"1072","glna"
"1073","glnb"
"1074","glnd"
"1075","glne"
"1076","glnh"
"1077","glnk"
"1078","glnp"
"1079","glnq"
"1080","glnq_2"
"1081","glns"
"1082","glnt"
"1083","gloa"
"1084","glob"
"1085","glpa"
"1086","glpb"
"1087","glpc"
"1088","glpd"
"1089","glpk"
"1090","glpt"
"1091","glpx"
"1092","glsa"
"1093","glsb"
"1094","glta"
"1095","gltb"
"1096","gltk"
"1097","glts"
"1098","gltx"
"1099","glxr"
"1100","glya"
"1101","glya2"
"1102","gmd"
"1103","gmha"
"1104","gmhb"
"1105","gmk"
"1106","gmtx"
"1107","gmty"
"1108","gnd"
"1109","gnda"
"1110","gnpa"
"1111","gor"
"1112","gora"
"1113","gph"
"1114","gpma"
"1115","gppa"
"1116","gpr"
"1117","gps"
"1118","gpt"
"1119","gpw"
"1120","gpz"
"1121","grea"
"1122","groel"
"1123","groes"
"1124","groes-2"
"1125","grol"
"1126","grpe"
"1127","grxc"
"1128","grxd"
"1129","gsha"
"1130","gshab"
"1131","gshb"
"1132","gsib"
"1133","gsic"
"1134","gsid"
"1135","gspc"
"1136","gspd"
"1137","gspe"
"1138","gspf"
"1139","gspg"
"1140","gsph"
"1141","gspi"
"1142","gspj"
"1143","gspk"
"1144","gspl"
"1145","gspm"
"1146","gsps"
"1147","gsta"
"1148","gtda"
"1149","gtfa"
"1150","gtfb"
"1151","guaa"
"1152","guab"
"1153","guad"
"1154","gudd"
"1155","gudp"
"1156","gutb"
"1157","gvpa"
"1158","gvpn"
"1159","gwsg"
"1160","gwss"
"1161","gyra"
"1162","gyrb"
"1163","hada"
"1164","hasa"
"1165","hbp"
"1166","hcab"
"1167","hcha"
"1168","hcp"
"1169","hda"
"1170","hdaa"
"1171","hdab"
"1172","hdac"
"1173","hdad"
"1174","hdeb"
"1175","hded-gi"
"1176","hdf"
"1177","hdfr"
"1178","held"
"1179","hema"
"1180","hemb"
"1181","hemc"
"1182","hemd"
"1183","heme"
"1184","hemf"
"1185","hemg"
"1186","hemh"
"1187","hemj"
"1188","heml"
"1189","hemn"
"1190","hemw"
"1191","hemx"
"1192","hemy"
"1193","hflc"
"1194","hfld"
"1195","hflk"
"1196","hflx"
"1197","hfq"
"1198","hha"
"1199","hha_1"
"1200","hha_2"
"1201","hha_4"
"1202","higa"
"1203","higa_1"
"1204","higa_2"
